name
A1
Aaj Tak
ABP News
Aryan TV
CNBC Awaaz
DD News
ET Now Swadesh
Good News Today
India News
India TV
Jan TV
Janta TV
Khabar Bharti
Live India
NDTV India
News18 India
News 24
News Nation
News World India
R9 TV
Republic Bharat
Sadhna News
Sahara Samay
Sansad TV
Sudarshan News
Times Now Navbharat
Total TV (India)
TV9 Bharatvarsh
Zee Business
Zee Hindustan
Zee News
ABP Ganga
First India News Rajasthan
India News Bihar Jharkhand
India News Haryana
India News Madhya Pradesh Chhattisgarh
India News Rajasthan
India News Uttar Pradesh Uttarakhand
News18 Bihar-Jharkhand
News18 Madhya Pradesh Chhattisgarh
News18 Rajasthan
News18 Uttar Pradesh Uttarakhand
Zee Bihar Jharkhand
Zee Delhi NCR Haryana
Zee Madhya Pradesh Chhattisgarh
Zee Rajasthan
Zee Uttar Pradesh Uttarakhand
Bloomberg
CNBC
CNN
ET Now
India Ahead
India Today
Mirror Now
NDTV 24x7
NDTV Profit
News9
NewsX
Republic TV
Times Now
WION
Assam Talks
DY 365
News18 Assam-North East
News Live
News Nation Assam
Prag News
Pratidin Time
ABP Ananda
Calcutta News
Channel 10
High News
Kolkata TV
News18 Bangla
News Time Bangla
Republic Bangla
TV9 Bangla
Zee 24 Ghanta
ABP Asmita
Gujarat Samachar
News18 Gujarati
Nirmana News
Sandesh News
TV9 Gujarati
VTV-Gujarati
Zee 24 Kalak
Janasri News
Kasthuri Newz 24
News18 Kannada
Raj News Kannada
Samaya TV
Suvarna News
TV9 Kannada
Asianet News
Jaihind TV
Janam TV
Kaumudy TV
Mangalam TV
Manorama News
Mathrubhumi News
Media One TV
News 18 Kerala
Reporter TV
ABP Majha
Jai Maharashtra
News18 Lokmat
Saam TV
TV9 Marathi
Zee 24 Taas
Argus News
Bada Khabar
Kalinga TV
Kamyab TV
Kanak News
MBC TV
Nandighosha TV
Naxatra News
News8 Odia
News18 Odia
OTV
Prameya News7
ABP Nadu
Captain News
Jaya Plus
Kalaignar Seithigal
Lotus News
News18 Tamil Nadu
News J
Polimer News
Puthiya Thalaimurai TV
Raj News 24X7
Sun News
10TV
99TV
ABN Andhra Jyothi
ETV2
ETV Andhra Pradesh
HMTV
MOJO TV
NTV
Prime9 News
Sakshi TV
Studio N
T News
TV1
TV5
TV9 Telugu
V6 News
